id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
3057486,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,14194cdf-9b81-4285-a72b-2cea6ed3b16a,KHD00026309,47204,Plantae,Magnoliophyta,,Poales,CYPERACEAE,Carex albonigra,1026,Mackenzie,Carex,albonigra,,,,,,,,,,Janet L. Wingate; Eleanor Ann Von Bargen,9023,7/17/2009,2009,7,17,198,,,2009 Floristic Survey of Windy Point & vicinity; Caespitose; common.,Grassy slope near Pinus aristata timberline; growing in Saliz near Pinus engelmannii with Achillea lanulosa. Granitic substrate,,,,,,,,,,,,USA,Colorado,El Paso,,"Windy Point and Vicinity., Pike-San Isabel National Forest, Pikes Peak, Boemer Creek headwaters below cog railway ca. 0.7mi S. of Sachett Mt. Below Windy Point by obscure road.",,38.812425,-105.025063,,,NAD27 13S 0497824E 4295754N,,,Terrain Navigator,,Certainty code: 1,3576,,,,,11733 FT,,,,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:14194cdf-9b81-4285-a72b-2cea6ed3b16a,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3057486
3047062,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,e1042fa9-1042-4d16-a731-cdf34c3285cc,KHD00002279,31788,Plantae,Magnoliophyta,,Poales,CYPERACEAE,Carex albonigra,1026,Mackenzie,Carex,albonigra,,,,,,,,,,Janet L. Wingate; Velma Richards,5842,8/30/1995,1995,8,30,242,,,", Condition: fair; Caespitose; one plant.",Growing in road cut.,,,,,,,,,,,,USA,Colorado,Clear Creek,,"Pike National Forest, near Duck Lake.",,39.579172,-105.721922,,,13N 0438000E 4381300N,,,TERRAIN NAV,,Certainty code: 1,3390,,,,,11123 FT,,,,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:e1042fa9-1042-4d16-a731-cdf34c3285cc,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3047062
3047067,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,1dee78e2-02bc-4029-88a4-21869befa124,KHD00002278,31793,Plantae,Magnoliophyta,,Poales,CYPERACEAE,Carex albonigra,1026,Mackenzie,Carex,albonigra,,,,,,,,,,Janet L. Wingate; Velma Richards,5833,8/30/1995,1995,8,30,242,,,", Condition: fair; Few plants.",Edge of willow carr.,,,,,,,,,,,,USA,Colorado,Clear Creek,,"Arapaho National Forest, lake E of Guanella Pass.",,39.594596,-105.704613,,,13N 0439500E 4383000N,,,TERRAIN NAV,,Certainty code: 1,3508,,,,,11510 FT,,,,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:1dee78e2-02bc-4029-88a4-21869befa124,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3047067
3275901,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,ae287258-cf0d-41f8-aeef-a9c65da89aee,KHD00029612,50882,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; John F. Gay,9347,7/17/2012,2012,7,16,198,,,,Growing by small streamlet in wet meadow.,,,,,Carex ebenea; Deschampsia caespitosa; Phleum alpinum; Carex jonesii,,,,,,,USA,Colorado,Conejos,,"S side of La Manga Pass, ca 1 mile NW of Pinorealosa Mountain, CO Hwy 17",,37.065831,-106.395518,NAD83,,13S 0375936E 4103086N,,,,,,3081,,,,,10107 ft,,,JWingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:ae287258-cf0d-41f8-aeef-a9c65da89aee,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3275901
4889275,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,41026366-533d-435b-bec5-e7d579ac9ec6,KHD00056193,54701,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; John F. Gay,10135,8/13/2014,2014,7,19,200,,,Dominant of lake shore.,Lake shore.; Wet soil.,,,,,Carex utriculata (Wingate 10136); Alopecurus pratensis (Wingate 10137).,,,,,,,USA,Colorado,Huerfano,,"Blue Lake, dam at N end of lake, Cucharas Creek near FSR 42, W of Rd 12, Culebra Range, San Isabel National Forest.",,37.31747,-105.13817,WGS84,,,,,,,,3171,,,,,10403 ft,,,Jwingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:41026366-533d-435b-bec5-e7d579ac9ec6,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4889275
4692322,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,d87a8de5-5b39-4d0a-960c-ec491fc72209,KHD00056246,54654,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; John F. Gay,10054,7/8/2014,2014,7,8,189,,,,Around small pools in wet meadow in spruce/fir forest.; Wet soil.,,,,,Carex canescens.,Fruit,,,,,,USA,Colorado,Archuleta,,"Beaver Meadow Spring, between Indian Mt and Baldy Mt, W of Vallecito Reservoir, N of US 160.",,37.36061,-107.45316,WGS84,,,,,,,,2903,,,,,9524 ft.,,,Jwingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:d87a8de5-5b39-4d0a-960c-ec491fc72209,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4692322
4691265,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,89ea38e9-2e18-44ec-96cd-df56328a8059,KHD00056239,54644,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; John F. Gay,10043,7/8/2014,2014,7,8,189,,,Mostly vegetative plants.,Wet meadow in spruce/fir forest.; Wet soil.,,,,,Carex aurea (Wingate 10044); Deschampsia caespitosa (Wingate 10045).,,,,,,,USA,Colorado,Archuleta,,"Beaver Meadow Spring, between Indian Mt and Baldy Mt, W of Vallecito Reservoir, N of US 160.",,37.36082,-107.45146,WGS84,,,,,,,,2913,,,,,9557 ft.,,,Jwingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:89ea38e9-2e18-44ec-96cd-df56328a8059,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4691265
4691270,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,3fd8f2bf-3686-4f98-b0e5-f6b07cd195f6,KHD00056242,54647,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; John F. Gay,10046,7/8/2014,2014,7,8,189,,,,Wet meadow in spruce/fir forest.; Wet soil.,,,,,Carex utriculata (Wingate 10047); Caltha leptosepala; Calamagrostis canadensis; Senecio triangularis; Salix sp.,,,,,,,USA,Colorado,Archuleta,,"Beaver Meadow Spring, between Indian Mt and Baldy Mt, W of Vallecito Reservoir, N of US 160.",,37.36082,-107.45146,WGS84,,,,,,,,2913,,,,,9557 ft.,,,Jwingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:3fd8f2bf-3686-4f98-b0e5-f6b07cd195f6,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4691270
3349201,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,f58f1be5-f85d-47bf-a1c9-d002387f10e5,KHD00029761,51147,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; John F. Gay,9403,7/20/2012,2012,7,19,201,,,,"Streamside, lush grass/willow vegetation.",,,,,Carex utriculata; Carex pellita.,,,,,,,USA,Colorado,Rio Grande,,"Rio Grande National Forest, Beaver Creek, N of Beaver Creek Reservoir, Forest Rd 360.",,37.601616,-106.6738,NAD83,,,John Cowling,,GeoLocate,,,2617,,,,,8587 ft,,,JWingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:f58f1be5-f85d-47bf-a1c9-d002387f10e5,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3349201
4889196,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,e87a10fb-41f6-458b-a880-45253eab3e99,,,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; John F. Gay,80115,7/10/2014,2014,7,10,191,,,,Beaver ponds.; Growing at shore line.,,,,,Salix (Wingate 10113); Carex utriculata (10114); Calamagrostis canadensis; Equisetum arvense.,Fruit.,,,,,,USA,Colorado,Hinsdale,,"Rio Grande River and Road 520, N of Road Canyon Reservoir #1 and Shotgun Mt, W of Road 149.",,37.79032,-107.16668,,,,,,,,,2785,,,,,9137 ft.,,,Jwingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:e87a10fb-41f6-458b-a880-45253eab3e99,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4889196
