institutionCode,collectionCode,CollectionID,BasisofRecord,occurenceID,catalogueNumber,OthercatalogueNumber,kingdom,class, order,family,ScientificName,scientificNameAuthorship,recordedBy,EventDate,occurrenceRemarks,habitat,country, stateprovince,county,locality,decimalLatitude,decimalLongitude,verbatimElevation
DBG,DBG,,PreservedSpecimen,a73cfa16-1f63-4f26-a97b-61ad672f082d,DBG-F-001022,1022,Fungi,Agaricomycetes,Agaricales,Amanitaceae,Amanita muscaria,(L.) Lam.,William Thulin,8/14/1966,"Pale specimen, Number of specimens in set: 1",,USA,Colorado,Boulder County,,,,
DBG,DBG,,PreservedSpecimen,8a4581ff-0c05-4cc4-a45d-02689cd673e8,DBG-F-010220,10220,Protozoa,Myxomycetes,Physarales,Physaraceae,Physarum albescens,T. Macbr.,"Duane H. ""Sam"" Mitchel",4/23/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,8af298f0-bef3-481e-9dca-40a4c5537cc3,DBG-F-010221,10221,Protozoa,Myxomycetes,Physarales,Physaraceae,Trichia sordida,Johannesen,"Duane H. ""Sam"" Mitchel",4/23/1980,Number of specimens in set: 1,Ponderosa Pine,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,c3b54b0a-c521-4438-9e9b-ce32898b468b,DBG-F-010224,10224,Protozoa,Myxomycetes,Stemonitales,Stemonitidaceae,Lamproderma atrosporum,Meyl.,"Duane H. ""Sam"" Mitchel",4/23/1980,,,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,922d8b5f-1fbe-47c8-b44a-42049bb988ae,DBG-F-001023,1023,Fungi,Agaricomycetes,Agaricales,Amanitaceae,Amanita fulva,Fr.,William Thulin,8/14/1966,"Near speciment #29692, Number of specimens in set: 1.",single,USA,Colorado,Boulder County,,,,
DBG,DBG,,PreservedSpecimen,c4d56e7e-63a0-4fe4-a1a9-8a1818208d37,DBG-F-010238,10238,Protozoa,Myxomycetes,Physarales,Physaraceae,Physarum albescens,T. Macbr.,"Duane H. ""Sam"" Mitchel",4/23/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,b995c260-7228-4464-89d3-ba5785364b0e,DBG-F-010242,10242,,,,,Comatricha suksdorfii,Ellis & Everh.,"Duane H. ""Sam"" Mitchel",4/23/1980,,,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,13a32295-d762-4b27-a147-6db8dfd925d9,DBG-F-010249,10249,,,,,Lamproderma maculatum,Kowalski,"Duane H. ""Sam"" Mitchel",4/22/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,27f6a540-ccfe-4eae-afc2-e6f833b1236d,DBG-F-001025,1025,Fungi,Agaricomycetes,Thelephorales,Bankeraceae,Sarcodon imbricatus,(L.) P. Karst.,Robert Niedrach,8/13/1966,Number of specimens in set: 1,,USA,Colorado,,,39.633891,-105.816943,
DBG,DBG,,PreservedSpecimen,d2e460bc-84d7-4235-b9bd-b959db079f44,DBG-F-010253,10253,Fungi,Agaricomycetes,Agaricales,Phelloriniaceae,Phellorinia strobilina,(Kalchbr.) Kalchbr.,Wilma Buerger,3/31/1980,Number of specimens in set: 1,,USA,Colorado,Garfield County,,39.7896,-107.1929,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,
