institutionCode,collectionCode,institutionID,basisOfRecord,occurrenceID,otherCatalogNumbers,catalogNumber,kingdom,class,order,family,scientificName,scientificNameAuthorship,recordedBy,eventDate,occurrenceRemarks,habitat,countryCode,stateProvince,county,locality,decimalLatitude,decimalLongitude,verbatimElevation
DBG,DBG,,PreservedSpecimen,b31cf2fe-0f29-4ea3-9f25-395810956e95,DBG-F-010278,10278,Protozoa,Myxomycetes,Physarales,Physaraceae,Physarum albescens,T. Macbr.,Shirley Chapman,4/29/1980,,Snowbank,US,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,7cd9e868-6584-40f6-9533-483c95de63ed,DBG-F-010281,10281,,,,,Lepidoderma carestianum,(Rabenh.) Rostaf.,Shirley Chapman,4/29/1980,,Snowbank,US,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,a17c65ae-143e-493e-a47c-92664e352313,DBG-F-010284,10284,,,,,Lamproderma maculatum,Kowalski,Shirley Chapman,4/29/1980,,Snowbank,US,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,2f84e38d-a4e6-4872-bf80-388c0c41392a,DBG-F-010287,10287,Protozoa,Myxomycetes,Stemonitales,Stemonitidaceae,Lamproderma atrosporum,Meyl.,Shirley Chapman,4/29/1980,,,US,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,3f391ed4-5e23-439e-bb5a-cc1306becc91,DBG-F-010288,10288,Protozoa,Myxomycetes,Physarales,Physaraceae,Physarum albescens,T. Macbr.,Shirley Chapman,4/29/1980,,Snowbank,US,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,9b40ed64-0e0a-44af-a2f2-442bfe3bee35,DBG-F-001029,1029,Fungi,Agaricomycetes,Cantharellales,Cantharellaceae,Cantharellus cibarius,Fr.,R. Niedrach,8/14/1966,Number of specimens in set: 1,,US,Colorado,,,,,
DBG,DBG,,PreservedSpecimen,a2cc4523-6b20-4ceb-95c1-ca6efbff3185,DBG-F-010290,10290,Protozoa,Myxomycetes,Physarales,Physaraceae,Physarum albescens,T. Macbr.,Shirley Chapman,4/29/1980,,Snowbank,US,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,2ab87155-2302-4a39-a8c4-fbeef946b36c,DBG-F-010291,10291,,,,,Lamproderma maculatum,Kowalski,Shirley Chapman,4/29/1990,,Snowbank. Wood & leaves,US,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,9ec4c389-b9fe-456d-94da-612781768ccc,DBG-F-010297,10297,,,,,Lamproderma echinosporum,Meyl.,Shirley Chapman,4/23/1980,,,US,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,62a19905-269b-4412-b15b-d78e17d7336f,DBG-F-001030,1030,Fungi,Agaricomycetes,Russulales,Russulaceae,Lactarius deliciosus,(L.) Gray,R. Niedrach,8/14/1966,Number of specimens in set: 1,,US,Colorado,,,39.633891,-105.816943,
