institutionCode,collectionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,othercatalogNumbers,kingdom,class,order,family,scientificName,scientificNameAuthorship,recordedBy,eventDate,occurrenceRemarks,habitat,country,stateProvince,county,locality,decimalLatitude,decimalLongitude,verbatimElevation
DBG,DBG,,PreservedSpecimen,e186e63d-7e72-4eda-9ed0-44b6054bb16d,DBG-F-010301,10301,Algae,,,Tubiferaceae,Diderma lyallii,(Massee) T. Macbr.,Iris Nelson,4/17/1980,,Snowbank,USA,Colorado,Archuleta County,,37.262619,-107.038601,
DBG,DBG,,PreservedSpecimen,71d8bb7f-b8d0-4776-9bb0-bba4755e9b8b,DBG-F-010302,10302,,,,,Lamproderma maculatum,Kowalski,Iris Nilsen,4/17/1980,,Snowbank,USA,Colorado,Archuleta County,,37.2703,-107.0109,
DBG,DBG,,PreservedSpecimen,5d2897a0-6cf5-40eb-be64-1cae63b7f751,DBG-F-010305,10305,,,,,Lamproderma maculatum,Kowalski,Iris Nilsen,4/15/1980,,Snowbank,USA,Colorado,Archuleta County,,37.2703,-107.0109,
DBG,DBG,,PreservedSpecimen,74289951-1184-4e43-b1be-6672542177ea,DBG-F-010310,10310,,,,,Didymium dubium,Rostaf.,Nilsen,4/19/1980,,Snowbank,USA,Colorado,Archuleta County,,37.2703,-107.0109,
DBG,DBG,,PreservedSpecimen,a866b01e-eceb-43c2-b821-43c9635e0932,DBG-F-010313,10313,,,,,Lamproderma maculatum,Kowalski,Iris Nilsen,4/20/1980,,Snowbank,USA,Colorado,Archuleta County,,37.2703,-107.0109,
DBG,DBG,,PreservedSpecimen,c5c91522-b1ae-4ed2-9d27-1873edd403f7,DBG-F-001032,1032,Fungi,Agaricomycetes,Boletales,Suillaceae,Suillus lakei,(Murrill) A.H. Sm. & Thiers,R. Niedrach,8/13/1966,Number of specimens in set: 1,,USA,Colorado,,,39.633891,-105.816943,
DBG,DBG,,PreservedSpecimen,a7187ce9-2d5a-4e31-b340-874f84c9d46b,DBG-F-010322,10322,,,,,Lamproderma cribrarioides,(Fr.) R.E. Fr.,"Duane H. ""Sam"" Mitchel",5/3/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,4697ac64-cd33-47c4-b3bb-26c4c987fe01,DBG-F-010124,10124,,,,,Perichaena corticalis,(Batsch) Rostaf.,Shirley Chapman,12/30/1979,,,USA,Colorado,Gilpin County,,39.8489,-105.5303,
DBG,DBG,,PreservedSpecimen,1926819b-7ac3-4307-be28-da483eb08b2e,DBG-F-010127,10127,,,,,Perichaena depressa,Lib.,Shirley Chapman,12/27/1979,,Dead Aspen bark,USA,Colorado,Gilpin County,,,,
DBG,DBG,,PreservedSpecimen,28150d70-cad9-48b3-9bbc-4754703333fe,DBG-F-001017,1017,Fungi,Pezizomycetes,Pezizales,Pezizaceae,Sarcosphaera coronaria,(Jacq.) J. Schr”t.,Mary Wells,8/7/1966,"Number of specimens in set: 1, Associated Material:  Photograph- Slide","Debris, soil.  Aspen and Spruce",USA,Colorado,Gunnison County,,38.5652,-106.6114,2621
,,,,,,,,,,,,,,,,,,,,,,,
